Statement Period,Transaction Month,Label,Artist,Release Title,Track Title,UPC,ISRC,Release Catalog ID,Track Catalog ID,Format,Release ID,Track ID,Account ID,Contract ID,Payee ID,Service,Channel,Territory,Quantity,Gross Revenue in USD,Mechanical Royalties Deducted,Contract Rate %,Net Revenue in USD,Your Share %,Amount Due in USD,Opening Balance in USD,Closing Balance in USD
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Nguoi Dau Tien,Nguoi Dau Tien,7.31648E+12,QZYFZ2536754,AMVN004,,Track,3109354,7256281,721948,1019190,791145,YouTube Content ID,Subscription Streaming,Taiwan,1,0.001256499,0,91.25,0.001146555,100,0.001146555,0,0.031198964
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Khong The Buong,Khong The Buong,7.31648E+12,QZYFZ2536928,AMVN003,AMVN003,Track,3119848,7267004,721948,1019190,791145,YouTube Music,Subscription Streaming,Taiwan,2,0.013001854,0,91.25,0.011864192,100,0.011864192,,
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Khong The Buong,Khong The Buong,7.31648E+12,QZYFZ2536928,AMVN003,AMVN003,Track,3119848,7267004,721948,1019190,791145,YouTube Music,Ad-Supported Streaming,Vietnam,1,0.000210549,0,91.25,0.000192126,100,0.000192126,,
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Khong The Buong,Khong The Buong,7.31648E+12,QZYFZ2536928,AMVN003,AMVN003,Track,3119848,7267004,721948,1019190,791145,YouTube Music,Subscription Streaming,Taiwan,4,0.00950851,0,91.25,0.008676515,100,0.008676515,,
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Chap Me Bat Ngo,Chap Me Bat Ngo,7.31648E+12,QZYFZ2536758,AMVN001,AMVN001,Track,3109298,7256138,721948,1019190,791145,YouTube Music,Ad-Supported Streaming,Turkey,1,0.000779825,0,91.25,0.00071159,100,0.00071159,,
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Khong The Buong,Khong The Buong,7.31648E+12,QZYFZ2536928,AMVN003,AMVN003,Track,3119848,7267004,721948,1019190,791145,YouTube Content ID,Subscription Streaming,Vietnam,2,0.000690667,0,91.25,0.000630233,100,0.000630233,,
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Khong The Buong,Khong The Buong,7.31648E+12,QZYFZ2536928,AMVN003,AMVN003,Track,3119848,7267004,721948,1019190,791145,YouTube Content ID,Subscription Streaming,Vietnam,2,0.000690667,0,91.25,0.000630233,100,0.000630233,,
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Khong The Buong,Khong The Buong,7.31648E+12,QZYFZ2536928,AMVN003,AMVN003,Track,3119848,7267004,721948,1019190,791145,YouTube Music,Ad-Supported Streaming,Vietnam,1,0.000359189,0,91.25,0.00032776,100,0.00032776,,
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Nguoi Dau Tien,Nguoi Dau Tien,7.31648E+12,QZYFZ2536754,AMVN004,,Track,3109354,7256281,721948,1019190,791145,YouTube Content ID,Subscription Streaming,Vietnam,2,0.001020386,0,91.25,0.000931102,100,0.000931102,,
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Nguoi Dau Tien,Nguoi Dau Tien,7.31648E+12,QZYFZ2536754,AMVN004,,Track,3109354,7256281,721948,1019190,791145,YouTube Content ID,Subscription Streaming,Vietnam,1,0.00034493,0,91.25,0.000314748,100,0.000314748,,
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Khong The Buong,Khong The Buong,7.31648E+12,QZYFZ2536928,AMVN003,AMVN003,Track,3119848,7267004,721948,1019190,791145,YouTube Content ID,Subscription Streaming,Vietnam,1,0.00034493,0,91.25,0.000314748,100,0.000314748,,
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Nguoi Dau Tien,Nguoi Dau Tien,7.31648E+12,QZYFZ2536754,AMVN004,,Track,3109354,7256281,721948,1019190,791145,YouTube Content ID,Subscription Streaming,Vietnam,3,0.001035596,0,91.25,0.000944981,100,0.000944981,,
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Khong The Buong,Khong The Buong,7.31648E+12,QZYFZ2536928,AMVN003,AMVN003,Track,3119848,7267004,721948,1019190,791145,YouTube Content ID,Subscription Streaming,Vietnam,1,0.000705151,0,91.25,0.00064345,100,0.00064345,,
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Nguoi Dau Tien,Nguoi Dau Tien,7.31648E+12,QZYFZ2536754,AMVN004,,Track,3109354,7256281,721948,1019190,791145,YouTube Content ID,Subscription Streaming,Vietnam,4,0.001381333,0,91.25,0.001260466,100,0.001260466,,
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Khong The Buong,Khong The Buong,7.31648E+12,QZYFZ2536928,AMVN003,AMVN003,Track,3119848,7267004,721948,1019190,791145,YouTube Music,Ad-Supported Streaming,Taiwan,1,0.002230004,0,91.25,0.002034879,100,0.002034879,,
2026-01,2025-11,Aurora Music Vietnam,Aurora Music Vietnam,Chap Me Bat Ngo,Chap Me Bat Ngo,7.31648E+12,QZYFZ2536758,AMVN001,AMVN001,Track,3109298,7256138,721948,1019190,791145,Apple Music,Subscription Streaming,Vietnam,1,0.000630559,0,91.25,0.000575385,100,0.000575385,,
